A,Time
100,1.33120136354e-05
200,6.40000655494e-06
300,5.37600550388e-06
400,5.12000524822e-06
500,5.12000524111e-06
600,5.37600550388e-06
700,5.12000524111e-06
800,5.12000524111e-06
900,4.86400497834e-06
1000,5.12000524822e-06
1100,5.12000524111e-06
1200,5.12000524111e-06
1300,5.12000524822e-06
1400,5.12000524111e-06
1500,5.12000524111e-06
1600,5.12000524111e-06
1700,5.12000524111e-06
1800,5.12000524111e-06
1900,5.12000524111e-06
2000,4.86400497834e-06
2100,5.12000524822e-06
2200,4.86400498545e-06
2300,5.12000524111e-06
2400,5.12000524111e-06
2500,4.86400498545e-06
2600,5.12000524822e-06
2700,5.12000524111e-06
2800,5.37600550388e-06
2900,5.12000524111e-06
3000,5.12000524822e-06
3100,5.12000524111e-06
3200,6.14400629217e-06
3300,5.12000524111e-06
3400,5.37600550388e-06
3500,5.12000524111e-06
3600,5.12000524111e-06
3700,5.12000524111e-06
3800,5.12000524111e-06
3900,5.12000524822e-06
4000,4.86400497834e-06
4100,5.12000524111e-06
4200,5.12000524111e-06
4300,5.12000524822e-06
4400,5.12000524111e-06
4500,5.12000524111e-06
4600,5.12000524111e-06
4700,5.12000524822e-06
4800,5.12000524111e-06
4900,5.12000524111e-06
5000,5.12000524111e-06
5100,5.12000524822e-06
5200,5.12000524111e-06
5300,5.12000524111e-06
5400,5.12000524111e-06
5500,5.12000524822e-06
5600,5.37600550388e-06
5700,5.12000524111e-06
5800,5.37600550388e-06
5900,5.12000524822e-06
6000,5.12000524111e-06
6100,5.12000524111e-06
6200,5.12000524111e-06
6300,5.12000524111e-06
6400,5.12000524822e-06
6500,5.37600550388e-06
6600,5.12000524111e-06
6700,5.12000524111e-06
6800,4.86400498545e-06
6900,4.86400497834e-06
7000,5.12000524111e-06
7100,5.12000524111e-06
7200,5.12000524111e-06
7300,5.12000524111e-06
7400,5.12000524111e-06
7500,5.12000524111e-06
7600,5.12000524111e-06
7700,5.12000524822e-06
7800,5.12000524111e-06
7900,4.86400497834e-06
8000,4.86400497834e-06
8100,5.12000524111e-06
8200,5.12000524822e-06
8300,5.12000524111e-06
8400,5.12000524111e-06
8500,4.86400497834e-06
8600,5.12000524111e-06
8700,4.86400498545e-06
8800,5.12000524111e-06
8900,5.12000524111e-06
9000,4.86400497834e-06
9100,5.12000524822e-06
9200,5.12000524822e-06
9300,5.12000524111e-06
9400,4.86400497834e-06
9500,4.86400497834e-06
9600,5.12000524822e-06
9700,5.12000524111e-06
9800,5.12000524111e-06
9900,5.12000524111e-06
10000,5.12000524822e-06
10100,5.12000524822e-06
10200,4.86400497834e-06
10300,4.86400497834e-06
10400,4.86400497834e-06
10500,4.86400498545e-06
10600,5.12000524111e-06
10700,5.12000524111e-06
10800,5.12000524111e-06
10900,5.12000524111e-06
11000,5.12000524822e-06
11100,5.12000524111e-06
11200,5.12000524111e-06
11300,4.86400497834e-06
11400,5.12000524822e-06
11500,5.12000524111e-06
11600,5.12000524111e-06
11700,4.86400497834e-06
11800,5.12000524111e-06
11900,5.12000524111e-06
12000,4.86400498545e-06
12100,5.12000524822e-06
12200,5.12000524111e-06
12300,5.12000524111e-06
12400,5.12000524111e-06
12500,5.12000524111e-06
12600,4.86400498545e-06
12700,5.12000524822e-06
12800,4.86400497834e-06
12900,5.12000524111e-06
13000,5.12000524111e-06
13100,4.86400497834e-06
13200,5.12000524822e-06
13300,4.86400498545e-06
13400,5.12000524111e-06
13500,5.12000524111e-06
13600,5.12000524111e-06
13700,5.12000524111e-06
13800,5.12000524822e-06
13900,5.12000524822e-06
14000,5.12000524111e-06
14100,5.12000524111e-06
14200,4.86400497834e-06
14300,4.86400497834e-06
14400,5.12000524111e-06
14500,5.12000524822e-06
14600,5.12000524111e-06
14700,4.86400497834e-06
14800,5.12000524111e-06
14900,5.12000524111e-06
15000,5.12000524822e-06
15100,4.86400498545e-06
15200,5.12000524111e-06
15300,5.12000524111e-06
15400,5.12000524111e-06
15500,5.12000524822e-06
15600,5.12000524822e-06
15700,4.86400497834e-06
15800,5.12000524111e-06
15900,5.12000524111e-06
16000,5.12000524111e-06
16100,4.86400498545e-06
16200,5.12000524822e-06
16300,5.12000524111e-06
16400,4.86400497834e-06
16500,5.12000524111e-06
16600,5.12000524111e-06
16700,4.86400497834e-06
16800,5.12000524822e-06
16900,4.86400498545e-06
17000,5.12000524111e-06
17100,5.12000524111e-06
17200,5.12000524111e-06
17300,4.86400497834e-06
17400,5.12000524822e-06
17500,4.86400498545e-06
17600,6.40000655494e-06
17700,5.12000524111e-06
17800,5.12000524111e-06
17900,5.12000524822e-06
18000,5.12000524111e-06
18100,5.12000524111e-06
18200,4.86400497834e-06
18300,5.12000524111e-06
18400,5.12000524822e-06
18500,5.12000524111e-06
18600,4.86400497834e-06
18700,4.86400497834e-06
18800,5.37600550388e-06
18900,5.12000524822e-06
19000,5.88800602941e-06
19100,5.12000524111e-06
19200,5.12000524822e-06
19300,4.86400497834e-06
19400,5.12000524111e-06
19500,4.86400497834e-06
19600,5.12000524111e-06
19700,5.12000524822e-06
19800,5.12000524111e-06
19900,5.12000524111e-06
20000,5.12000524111e-06
20100,5.12000524111e-06
20200,4.86400498545e-06
20300,5.12000524822e-06
20400,5.12000524111e-06
20500,5.12000524111e-06
20600,5.12000524111e-06
20700,5.12000524822e-06
20800,4.86400498545e-06
20900,5.12000524111e-06
21000,4.86400497834e-06
21100,5.12000524111e-06
21200,4.86400497834e-06
21300,5.12000524111e-06
21400,5.12000524822e-06
21500,5.12000524111e-06
21600,5.12000524111e-06
21700,4.86400497834e-06
21800,5.12000524111e-06
21900,4.86400497834e-06
22000,5.12000524822e-06
22100,5.12000524111e-06
22200,5.12000524111e-06
22300,5.12000524111e-06
22400,5.12000524111e-06
22500,4.86400498545e-06
22600,5.12000524822e-06
22700,4.86400498545e-06
22800,5.12000524111e-06
22900,5.12000524111e-06
23000,5.12000524111e-06
23100,5.12000524111e-06
23200,4.86400498545e-06
23300,4.86400498545e-06
23400,5.12000524111e-06
23500,5.12000524111e-06
23600,5.12000524111e-06
23700,5.12000524111e-06
23800,5.12000524111e-06
23900,5.12000524822e-06
24000,5.12000524822e-06
24100,5.12000524111e-06
24200,5.12000524111e-06
24300,5.12000524111e-06
24400,5.12000524111e-06
24500,5.12000524111e-06
24600,5.12000524822e-06
24700,5.12000524822e-06
24800,4.86400497834e-06
24900,5.12000524111e-06
25000,5.12000524111e-06
25100,4.86400497834e-06
25200,5.12000524111e-06
25300,4.86400498545e-06
25400,4.86400498545e-06
25500,5.12000524111e-06
25600,4.86400497834e-06
25700,5.12000524111e-06
25800,5.12000524111e-06
25900,4.86400497834e-06
26000,5.12000524822e-06
26100,5.12000524111e-06
26200,4.86400497834e-06
26300,5.12000524111e-06
26400,5.12000524111e-06
26500,4.86400497834e-06
26600,5.12000524822e-06
26700,4.86400498545e-06
26800,5.12000524111e-06
26900,4.86400497834e-06
27000,4.86400497834e-06
27100,5.12000524111e-06
27200,5.12000524111e-06
27300,5.12000524111e-06
27400,4.86400497834e-06
27500,5.12000524111e-06
27600,5.12000524111e-06
27700,5.12000524111e-06
27800,5.12000524822e-06
27900,5.12000524111e-06
28000,5.12000524111e-06
28100,5.12000524111e-06
28200,4.86400497834e-06
28300,4.86400497834e-06
28400,5.12000524822e-06
28500,5.12000524822e-06
28600,4.86400497834e-06
28700,5.12000524111e-06
28800,4.86400497834e-06
28900,5.12000524111e-06
29000,5.12000524111e-06
29100,5.12000524822e-06
29200,4.86400498545e-06
29300,5.12000524111e-06
29400,4.86400497834e-06
29500,4.86400497834e-06
29600,5.12000524111e-06
29700,4.86400498545e-06
29800,4.86400498545e-06
29900,4.86400497834e-06
30000,4.86400497834e-06
30100,4.86400497834e-06
30200,5.12000524111e-06
30300,4.86400498545e-06
30400,5.12000524822e-06
30500,5.12000524111e-06
30600,4.86400497834e-06
30700,5.12000524111e-06
30800,5.12000524111e-06
30900,5.12000524111e-06
31000,5.12000524111e-06
31100,4.86400498545e-06
31200,5.12000524111e-06
31300,5.12000524111e-06
31400,5.12000524111e-06
31500,4.86400497834e-06
31600,4.86400497834e-06
31700,5.12000524111e-06
31800,4.86400498545e-06
31900,4.86400498545e-06
32000,4.86400498545e-06
32100,5.12000524111e-06
32200,5.12000524111e-06
32300,4.86400497834e-06
32400,5.12000524111e-06
32500,4.86400498545e-06
32600,5.12000524111e-06
32700,5.12000524111e-06
32800,4.86400497834e-06
32900,5.12000524111e-06
33000,5.12000524111e-06
33100,5.12000524822e-06
33200,5.12000524822e-06
33300,4.86400498545e-06
33400,5.12000524111e-06
33500,4.86400497834e-06
33600,5.12000524111e-06
33700,5.12000524111e-06
33800,5.12000524822e-06
33900,5.12000524111e-06
34000,5.12000524111e-06
34100,5.12000524111e-06
34200,5.12000524111e-06
34300,5.12000524111e-06
34400,5.12000524822e-06
34500,4.86400498545e-06
34600,4.86400498545e-06
34700,6.14400629217e-06
34800,5.12000524111e-06
34900,4.86400497834e-06
35000,5.12000524111e-06
35100,5.12000524822e-06
35200,5.88800602941e-06
35300,5.12000524111e-06
35400,4.86400498545e-06
35500,5.12000524111e-06
35600,5.12000524111e-06
35700,5.12000524111e-06
35800,5.12000524822e-06
35900,5.12000524111e-06
36000,5.12000524111e-06
36100,5.12000524111e-06
36200,5.12000524111e-06
36300,5.12000524822e-06
36400,5.12000524111e-06
