A,Time
2,2.1248021758e-05
4,1.9456019923e-05
6,1.38240141558e-05
8,4.94080505938e-05
10,2.56000262144e-06
12,8.32000851969e-05
14,0.000252928258999
16,0.000315904323486
18,0.000643072658506
20,0.0012436492735
22,0.00216269021459
24,0.0041833002837
26,0.00208870613884
28,0.00824141643921
30,0.0144788628264
32,0.0252574978637
34,0.0553196086473
36,0.0878795139886
38,0.15991209975
40,0.317277252892
42,0.556413497767
44,1.02856450925
46,1.89817333573
48,3.47510448651
50,6.43263353102
52,11.8635290763
54,21.8648098456
